#事業者名	線名	駅1	駅2	駅間営業粨程	駅間計算粨程	駅間実乗粨程	制約
JR西日本	山陽本線	兵庫	西明石	210	210	210	+規16-2_2_(4),:規157_(29)
JR西日本	山陽本線	西明石	加古川	163	163	163	
JR西日本	山陽本線	加古川	姫路	157	157	157	
JR西日本	山陽本線	姫路	相生	207	207	207	
JR西日本	山陽本線	相生	上郡	141	141	141	
JR西日本	山陽本線	上郡	東岡山	465	465	538		# 基151（東岡山～岡山）
JR西日本	山陽本線	東岡山	岡山	73	73	0		# 基151（東岡山～岡山）
JR西日本	山陽本線	岡山	倉敷	159	159	0		# 基151（倉敷～岡山）
JR西日本	山陽本線	倉敷	福山	424	424	583		# 基151（倉敷～岡山）
JR西日本	山陽本線	福山	三原	316	316	316		# 山陽新幹線と統合
JR西日本	山陽本線	三原	海田市	650	650	934	+規16-2_2_(6)	# 基151（海田市～広島）, 呉線を含む
JR西日本	山陽本線	海田市	広島	64	64	0	+規16-2_2_(6)	# 基151（海田市～広島）
JR西日本	山陽本線	広島	（陽）横川	30	30	0	+規16-2_2_(7)	# 基151（横川～広島）
JR西日本	山陽本線	（陽）横川	岩国	384	384	414	+規16-2_2_(7)	# 基151（横川～広島）
JR西日本	山陽本線	岩国	櫛ケ浜	654	654	654	+規16-2_2_(7),-規69_(9)
JR西日本	山陽本線	櫛ケ浜	徳山	34	34	34	+規16-2_2_(7)
JR西日本	山陽本線	徳山	新山口	443	443	443	
JR西日本	山陽本線	新山口	宇部	253	253	253	
JR西日本	山陽本線	宇部	小野田	35	35	35	
JR西日本	山陽本線	小野田	厚狭	63	63	63	
JR西日本	山陽本線	厚狭	幡生	303	303	338		# 基151（幡生～下関）
JR西日本	山陽本線	幡生	下関	35	35	0		# 基151（幡生～下関）
JR九州	山陽本線	下関	門司	63	63	63	
JR西日本	山陽本線（和田岬線）	兵庫	和田岬	27	27	27	
JR西日本	加古川線	加古川	谷川	485	534	485	:基110_はまかぜ
JR西日本	播但線	和田山	姫路	657	723	657	
JR西日本	姫新線	姫路	佐用	459	505	459	
JR西日本	姫新線	佐用	東津山	378	416	378	
JR西日本	姫新線	東津山	津山	26	28	26	
JR西日本	姫新線	津山	新見	718	790	718	
JR西日本	赤穂線	相生	東岡山	574	631	647		# 基151（東岡山～岡山）
JR西日本	津山線	津山	岡山	587	646	587	
JR西日本	吉備線	岡山	総社	204	224	204	
JR西日本	宇野線	岡山	茶屋町	149	149	149	
JR西日本	宇野線	茶屋町	宇野	179	179	179	
JR西日本	伯備線	倉敷	総社	107	107	266		# 基151（倉敷～岡山）
JR西日本	伯備線	総社	新見	537	537	537	
JR西日本	伯備線	新見	備中神代	64	64	0		# 基151（備中神代～新見）
JR西日本	伯備線	備中神代	伯耆大山	676	676	788		# 基151（備中神代～新見, 伯耆大山～米子）
JR西日本	芸備線	備中神代	備後落合	446	491	510		# 基151（備中神代～新見）
JR西日本	芸備線	備後落合	塩町	386	424	386	
JR西日本	芸備線	塩町	広島	759	835	759	
JR西日本	福塩線	福山	塩町	780	858	780	
JR西日本	可部線	（陽）横川	あき亀山	156	172	186		# 基151（横川～広島）
JR西日本	岩徳線	岩国	櫛ケ浜	437	481	437	+規69_(9)
JR西日本	山口線	新山口	益田	939	1033	939	
JR西日本	宇部線	新山口	居能	289	289	289	
JR西日本	宇部線	居能	宇部	43	43	43	
JR西日本	小野田線	小野田	雀田	71	78	71	
JR西日本	小野田線	雀田	居能	45	50	45	
JR西日本	小野田線（本山支線）	雀田	長門本山	23	25	23	
JR西日本	美祢線	厚狭	長門市	460	460	460	
JR西日本	山陰本線	京都	綾部	762	762	762	
JR西日本	山陰本線	綾部	福知山	123	123	123	:基110_はまかぜ
JR西日本	山陰本線	福知山	和田山	305	305	305	:基110_はまかぜ	# 基110（尼崎～和田山）
JR西日本	山陰本線	和田山	豊岡	294	294	294	
JR西日本	山陰本線	豊岡	鳥取	819	819	819	
JR西日本	山陰本線	鳥取	伯耆大山	879	879	927		# 基151（伯耆大山～米子）
JR西日本	山陰本線	伯耆大山	米子	48	48	0		# 基151（伯耆大山～米子）
JR西日本	山陰本線	米子	宍道	459	459	459	
JR西日本	山陰本線	宍道	益田	1456	1456	1456	
JR西日本	山陰本線	益田	長門市	851	851	851	
JR西日本	山陰本線	長門市	幡生	742	742	777		# 基151（幡生～下関）
JR西日本	山陰本線（仙崎支線）	長門市	仙崎	22	22	22	
JR西日本	舞鶴線	東舞鶴	西舞鶴	69	76	69	
JR西日本	舞鶴線	西舞鶴	綾部	195	214	195	
JR西日本	因美線	東津山	智頭	389	428	389	
JR西日本	因美線	智頭	鳥取	319	351	319	
JR西日本	境線	米子	境港	179	197	179	
JR西日本	木次線	備後落合	宍道	819	901	819	
JR東海	関西本線	名古屋	河原田	441	441	441	
JR東海	関西本線	河原田	亀山	158	158	158	
JR西日本	関西本線	亀山	柘植	200	200	200	
JR西日本	関西本線	柘植	木津	470	470	470	
JR西日本	関西本線	木津	奈良	70	70	70	
JR西日本	関西本線	奈良	王寺	154	154	154	
JR西日本	関西本線	王寺	久宝寺	150	150	150	
JR西日本	関西本線	久宝寺	天王寺	71	71	71	
JR西日本	関西本線	天王寺	今宮	22	22	10	-規69_(7)	# 基149（今宮～新今宮）
JR西日本	関西本線	今宮	JR難波	13	13	25		# 基149（今宮～新今宮）
JR西日本	草津線	柘植	草津	367	367	367	
JR西日本	奈良線	木津	京都	347	347	347	
JR西日本	桜井線	奈良	（和）高田	294	323	294	
JR西日本	片町線	木津	放出	416	416	416	
JR西日本	片町線	放出	鴫野	16	16	16	
JR西日本	片町線	鴫野	京橋	16	16	16	
JR西日本	和歌山線	王寺	（和）高田	115	127	115	
JR西日本	和歌山線	（和）高田	和歌山	760	836	760	
JR西日本	阪和線	天王寺	鳳	151	151	151	
JR西日本	阪和線	鳳	日根野	198	198	198	
JR西日本	阪和線	日根野	和歌山	264	264	264	
JR西日本	阪和線（羽衣線）	鳳	東羽衣	17	17	17	
JR西日本	関西空港線	日根野	関西空港	111	111	111	
JR東海	紀勢本線	亀山	津	155	155	155	
JR東海	紀勢本線	津	松阪	191	191	191	
JR東海	紀勢本線	松阪	多気	79	79	79	
JR東海	紀勢本線	多気	新宮	1377	1377	1377	
JR西日本	紀勢本線	新宮	和歌山	2007	2007	2007	
JR西日本	紀勢本線	和歌山	和歌山市	33	33	33	
JR東海	名松線	松阪	伊勢奥津	435	479	435	
JR東海	参宮線	多気	鳥羽	291	320	291	
JR東日本	東北本線	東京	神田	13	13	0		# 基151（神田～東京）
JR東日本	東北本線	神田	秋葉原	7	7	20	:基110_NEX	# 基151（神田～東京）
JR東日本	東北本線	秋葉原	日暮里	38	38	16	:基110_NEX,:基149_日暮里	# 基149（日暮里～上野）
JR東日本	東北本線	日暮里	田端	13	13	35	+規69_(2),:基149_日暮里,:尾久問題A,:田端問題	# 基149（日暮里～上野）
JR東日本	東北本線	田端	赤羽	61	61	61	+規69_(2),:尾久問題B,:田端問題
JR東日本	東北本線	赤羽	南浦和	93	93	93	+規69_(3)
JR東日本	東北本線	南浦和	大宮	78	78	78	+規69_(3)
JR東日本	東北本線	大宮	小山	503	503	503	
JR東日本	東北本線	小山	宇都宮	289	289	289	
JR東日本	東北本線	宇都宮	宝積寺	117	117	0		# 基151（宝積寺～宇都宮）
JR東日本	東北本線	宝積寺	安積永盛	1006	1006	1172		# 基151（宝積寺～宇都宮, 安積永盛～郡山）
JR東日本	東北本線	安積永盛	（北）郡山	49	49	0		# 基151（安積永盛～郡山）
JR東日本	東北本線	（北）郡山	（北）福島	461	461	461	
JR東日本	東北本線	（北）福島	岩沼	614	614	614	+規16-2_2_(8)
JR東日本	東北本線	岩沼	仙台	176	176	176	+規16-2_2_(8)
JR東日本	東北本線	仙台	岩切	81	81	81	+規16-2_2_(9)
JR東日本	東北本線	岩切	松島	153	153	53	+規16-2_2_(9)	# 基149（松島～塩釜）
JR東日本	東北本線	松島	小牛田	198	198	298	+規16-2_2_(9)	# 基149（松島～塩釜）
JR東日本	東北本線	小牛田	一ノ関	501	501	501	+規16-2_2_(9),:規157_(8)
JR東日本	東北本線	一ノ関	北上	424	424	424		# 東北新幹線と統合
JR東日本	東北本線	北上	花巻	125	125	125	+規16-2_2_(11),-正規化1
JR東日本	東北本線	花巻	盛岡	353	353	353	+規16-2_2_(11)
JR東日本	東北本線（利府線）	岩切	利府	42	42	42	
JR東日本	東北本線（埼京線）	赤羽	武蔵浦和	106	106	106	-規69_(3)
JR東日本	東北本線（埼京線）	武蔵浦和	大宮	74	74	74	-規69_(3)
JR東日本	東北本線（仙石東北ライン）	松島	高城町	3	3	103		# 基149（松島～塩釜）
JR東日本	常磐線	日暮里	新松戸	207	207	229	:基149_日暮里,:尾久問題A	# 基149（日暮里～上野）
JR東日本	常磐線	新松戸	我孫子	106	106	106	
JR東日本	常磐線	我孫子	友部	675	675	675	
JR東日本	常磐線	友部	水戸	165	165	165	
JR東日本	常磐線	水戸	いわき	941	941	941	
JR東日本	常磐線	いわき	岩沼	1343	1343	1343	
JR東日本	水郡線	水戸	上菅谷	101	111	101	
JR東日本	水郡線	上菅谷	安積永盛	1274	1402	1323		# 基151（安積永盛～郡山）
JR東日本	水郡線（常陸太田支線）	上菅谷	常陸太田	95	105	95	
JR東日本	川越線	大宮	高麗川	306	306	306	
JR東日本	高崎線	大宮	熊谷	344	344	344	
JR東日本	高崎線	熊谷	倉賀野	359	359	403	+規16-2_2_(12)	# 基151（倉賀野～高崎）
JR東日本	高崎線	倉賀野	高崎	44	44	0	+規16-2_2_(12)	# 基151（倉賀野～高崎）
JR東日本	上越線	高崎	新前橋	73	73	0	+規16-2_2_(13)	# 基151（新前橋～高崎）
JR東日本	上越線	新前橋	渋川	138	138	211	+規16-2_2_(13)	# 基151（新前橋～高崎）
JR東日本	上越線	渋川	越後湯沢	731	731	731	+規16-2_2_(13)
JR東日本	上越線	越後湯沢	小出	380	380	380	
JR東日本	上越線	小出	越後川口	106	106	106	
JR東日本	上越線	越後川口	宮内	198	198	228		# 基151（宮内～長岡）
JR東日本	上越線（ガーラ湯沢支線）	越後湯沢	ガーラ湯沢	18	18	18	
JR東日本	吾妻線	渋川	大前	553	608	553	
JR東日本	両毛線	小山	新前橋	844	844	917		# 基151（新前橋～高崎）
JR東日本	水戸線	小山	友部	502	502	502	
JR東日本	日光線	宇都宮	日光	405	446	405	
JR東日本	烏山線	宝積寺	烏山	204	224	321		# 基151（宝積寺～宇都宮）
JR東日本	仙山線	仙台	羽前千歳	580	580	628		# 基151（羽前千歳～山形）
JR東日本	仙石線	あおば通	仙台	5	5	5	
JR東日本	仙石線	仙台	高城町	250	250	250	
JR東日本	仙石線	高城町	石巻	235	235	235	
JR東日本	石巻線	小牛田	前谷地	128	141	128	
JR東日本	石巻線	前谷地	石巻	151	166	151	
JR東日本	石巻線	石巻	女川	168	185	168	
JR東日本	気仙沼線	前谷地	柳津	175	193	175	
JR東日本	大船渡線	一ノ関	気仙沼	620	682	620	
JR東日本	北上線	北上	横手	611	672	611	
JR東日本	釜石線	花巻	新花巻	64	70	64	-正規化1
JR東日本	釜石線	新花巻	釜石	838	922	838	
JR東日本	田沢湖線	大曲	盛岡	756	832	756	
JR東日本	山田線	盛岡	宮古	1021	1123	1021	
JR東日本	花輪線	好摩	大館	1069	1176	1069	
JR東日本	八戸線	八戸	久慈	649	714	649	
JR東日本	大湊線	野辺地	大湊	584	642	584	
JR東日本	磐越東線	いわき	（北）郡山	856	942	856	
JR東日本	磐越西線	（北）郡山	会津若松	646	646	646	
JR東日本	磐越西線	会津若松	新津	1110	1110	1110	
JR東日本	只見線	小出	会津若松	1352	1487	1352	
JR東日本	奥羽本線	（北）福島	米沢	401	401	401	
JR東日本	奥羽本線	米沢	北山形	489	489	470		# 基151（北山形～山形, 羽前千歳～山形）
JR東日本	奥羽本線	北山形	羽前千歳	29	29	0		# 基151（羽前千歳～山形）
JR東日本	奥羽本線	羽前千歳	新庄	567	567	615		# 基151（羽前千歳～山形）
JR東日本	奥羽本線	新庄	横手	797	797	797	
JR東日本	奥羽本線	横手	大曲	187	187	187	
JR東日本	奥羽本線	大曲	秋田	517	517	517	
JR東日本	奥羽本線	秋田	（奥）追分	130	130	0		# 基151（追分～秋田）
JR東日本	奥羽本線	（奥）追分	東能代	437	437	567		# 基151（追分～秋田）
JR東日本	奥羽本線	東能代	大館	475	475	475	
JR東日本	奥羽本線	大館	川部	505	505	442		# 基151（川部～弘前）
JR東日本	奥羽本線	川部	新青森	272	272	335		# 基151（川部～弘前）
JR東日本	奥羽本線	新青森	青森	39	39	39	
JR東日本	米坂線	米沢	坂町	907	998	907	
JR東日本	左沢線	北山形	左沢	243	267	262		# 基151（北山形～山形）
JR東日本	男鹿線	（奥）追分	男鹿	264	290	394		# 基151（追分～秋田）
JR東日本	五能線	東能代	川部	1472	1619	1535		# 基151（川部～弘前）
JR東日本	津軽線	青森	三厩	558	614	558	
JR東日本	羽越本線	新津	新発田	260	260	260	
JR東日本	羽越本線	新発田	坂町	220	220	220	
JR東日本	羽越本線	坂町	余目	1067	1067	1189		# 基151（余目～酒田）
JR東日本	羽越本線	余目	秋田	1170	1170	1048		# 基151（余目～酒田）
JR東日本	白新線	新潟	新発田	273	273	273	
JR東日本	陸羽東線	小牛田	古川	94	103	94	:規157_(8)
JR東日本	陸羽東線	古川	新庄	847	932	847	+規157_(8)
JR東日本	陸羽西線	新庄	余目	430	473	552		# 基151（余目～酒田）
JR東日本	信越本線	高崎	（信）横川	297	297	297	
JR東日本	信越本線	篠ノ井	長野	93	93	93	
JR東日本	信越本線	直江津	柏崎	363	363	363	
JR東日本	信越本線	柏崎	宮内	337	337	367		# 基151（宮内～長岡）
JR東日本	信越本線	宮内	長岡	30	30	0		# 基151（宮内～長岡）
JR東日本	信越本線	長岡	東三条	232	232	232	+規16-2_2_(14)
JR東日本	信越本線	東三条	新津	249	249	249	+規16-2_2_(14)
JR東日本	信越本線	新津	新潟	152	152	152	+規16-2_2_(14)
JR東日本	飯山線	豊野	飯山	192	211	192	
JR東日本	飯山線	飯山	越後川口	775	853	775	
JR東日本	越後線	柏崎	吉田	498	548	498	
JR東日本	越後線	吉田	新潟	340	374	340	
JR東日本	弥彦線	弥彦	吉田	49	54	49	
JR東日本	弥彦線	吉田	燕三条	80	88	80	
JR東日本	弥彦線	燕三条	東三条	45	49	45	
JR東日本	総武本線	東京	錦糸町	48	48	48	+規69_(5),:基110_NEX
JR東日本	総武本線	錦糸町	西船橋	158	158	158	+規69_(5),:基110_NEX
JR東日本	総武本線	西船橋	千葉	186	186	186	+規69_(5),:基110_NEX
JR東日本	総武本線	千葉	佐倉	161	161	161	
JR東日本	総武本線	佐倉	成東	216	216	216	
JR東日本	総武本線	成東	松岸	404	404	404	
JR東日本	総武本線	松岸	銚子	32	32	32	
JR東日本	総武本線（御茶ノ水支線）	錦糸町	秋葉原	34	34	34	:基110_NEX	# 基110（代々木～錦糸町）
JR東日本	総武本線（御茶ノ水支線）	秋葉原	御茶ノ水	9	9	9	:基110_NEX	# 基110（代々木～錦糸町）
JR東日本	外房線	千葉	蘇我	38	38	38	+規69_(5)
JR東日本	外房線	蘇我	大網	191	191	191	
JR東日本	外房線	大網	安房鴨川	704	704	704	
JR東日本	内房線	蘇我	木更津	313	313	313	
JR東日本	内房線	木更津	安房鴨川	881	881	881	
JR東日本	京葉線	西船橋	南船橋	54	54	54	:基110_NEX
JR東日本	京葉線	南船橋	蘇我	170	170	170	-規69_(5)
JR東日本	京葉線	東京	市川塩浜	182	182	182	-規69_(5)
JR東日本	京葉線	市川塩浜	南船橋	78	78	78	-規69_(5)
JR東日本	京葉線（高谷支線）	市川塩浜	西船橋	59	59	59	:基110_NEX
JR東日本	成田線	佐倉	成田	131	131	131	
JR東日本	成田線	成田	香取	305	305	305	
JR東日本	成田線	香取	松岸	318	318	318	
JR東日本	成田線（我孫子支線）	成田	我孫子	329	329	329	
JR東日本	成田線（空港支線）	成田	成田空港	108	108	108	
JR東日本	鹿島線	香取	鹿島サッカースタジアム	174	191	174	
JR東日本	久留里線	木更津	上総亀山	322	354	322	
JR東日本	東金線	大網	成東	138	152	138	
JR九州	鹿児島本線	門司港	門司	55	55	55	
JR九州	鹿児島本線	門司	小倉	55	55	55	

## 三島（以下3本の枝のうち北海道・九州の枝を含む最長路が得られたならば、真の最長路も北海道・九州を通ると言える）
-	-	新青森	北海道	14500	14500	14500		# 真の最長路の粨程より短めの値
-	-	茶屋町	四国	6500	6500	6500		# 真の最長路の粨程より長めの値
-	-	小倉	九州	11500	11500	11500		# 真の最長路の粨程より短めの値

## 実乗可能粁程計算用の追加枝
JR東日本	特定分岐区間〈大崎経由〉	東京	武蔵小杉	0	0	208	*基149_品川	# 基149（品川～大崎）
JR東日本	特定分岐区間〈日暮里乗継〉	田端	新松戸	0	0	336	*基149_日暮里,:田端問題	# 基149（日暮里～東京）
JR東日本	特定分岐区間〈鶴見乗継〉	武蔵小杉	川崎	0	0	255	*基149_鶴見	# 基149（鶴見～横浜）
